episode: 62 | reward: -19.0 | mean_reward: -20.31 | epsilon: 0.94 | speed: 97.14 frames/s
episode: 63 | reward: -20.0 | mean_reward: -20.30 | epsilon: 0.94 | speed: 97.76 frames/s
episode: 64 | reward: -18.0 | mean_reward: -20.27 | epsilon: 0.94 | speed: 97.79 frames/s
episode: 65 | reward: -21.0 | mean_reward: -20.28 | epsilon: 0.94 | speed: 97.40 frames/s
episode: 66 | reward: -19.0 | mean_reward: -20.26 | epsilon: 0.94 | speed: 98.15 frames/s
episode: 67 | reward: -21.0 | mean_reward: -20.27 | epsilon: 0.94 | speed: 97.37 frames/s
episode: 68 | reward: -21.0 | mean_reward: -20.28 | epsilon: 0.94 | speed: 96.47 frames/s
episode: 69 | reward: -20.0 | mean_reward: -20.28 | epsilon: 0.94 | speed: 97.04 frames/s
episode: 70 | reward: -21.0 | mean_reward: -20.29 | epsilon: 0.93 | speed: 96.36 frames/s
episode: 71 | reward: -21.0 | mean_reward: -20.30 | epsilon: 0.93 | speed: 97.67 frames/s
episode: 72 | reward: -20.0 | mean_reward: -20.29 | epsilon: 0.93 | speed: 96.79 frames/s
episode: 73 | reward: -20.0 | mean_reward: -20.29 | epsilon: 0.93 | speed: 96.65 frames/s
episode: 74 | reward: -19.0 | mean_reward: -20.27 | epsilon: 0.93 | speed: 96.98 frames/s
episode: 75 | reward: -21.0 | mean_reward: -20.28 | epsilon: 0.93 | speed: 95.72 frames/s
episode: 76 | reward: -19.0 | mean_reward: -20.26 | epsilon: 0.93 | speed: 96.53 frames/s
episode: 77 | reward: -21.0 | mean_reward: -20.27 | epsilon: 0.93 | speed: 95.98 frames/s
episode: 78 | reward: -21.0 | mean_reward: -20.28 | epsilon: 0.93 | speed: 97.81 frames/s
episode: 79 | reward: -17.0 | mean_reward: -20.24 | epsilon: 0.93 | speed: 96.45 frames/s
episode: 80 | reward: -21.0 | mean_reward: -20.25 | epsilon: 0.92 | speed: 96.25 frames/s
episode: 81 | reward: -19.0 | mean_reward: -20.23 | epsilon: 0.92 | speed: 96.57 frames/s
episode: 82 | reward: -20.0 | mean_reward: -20.23 | epsilon: 0.92 | speed: 95.89 frames/s
episode: 83 | reward: -21.0 | mean_reward: -20.24 | epsilon: 0.92 | speed: 97.36 frames/s
episode: 84 | reward: -20.0 | mean_reward: -20.24 | epsilon: 0.92 | speed: 95.75 frames/s
episode: 85 | reward: -21.0 | mean_reward: -20.25 | epsilon: 0.92 | speed: 97.48 frames/s
episode: 86 | reward: -19.0 | mean_reward: -20.23 | epsilon: 0.92 | speed: 96.52 frames/s
episode: 87 | reward: -20.0 | mean_reward: -20.23 | epsilon: 0.92 | speed: 96.63 frames/s
episode: 88 | reward: -21.0 | mean_reward: -20.24 | epsilon: 0.92 | speed: 97.08 frames/s
episode: 89 | reward: -20.0 | mean_reward: -20.24 | epsilon: 0.92 | speed: 97.19 frames/s
episode: 90 | reward: -19.0 | mean_reward: -20.22 | epsilon: 0.92 | speed: 97.22 frames/s
episode: 91 | reward: -18.0 | mean_reward: -20.20 | epsilon: 0.91 | speed: 97.10 frames/s
episode: 92 | reward: -21.0 | mean_reward: -20.21 | epsilon: 0.91 | speed: 96.74 frames/s
episode: 93 | reward: -20.0 | mean_reward: -20.20 | epsilon: 0.91 | speed: 96.79 frames/s
episode: 94 | reward: -21.0 | mean_reward: -20.21 | epsilon: 0.91 | speed: 96.96 frames/s
episode: 95 | reward: -20.0 | mean_reward: -20.21 | epsilon: 0.91 | speed: 97.70 frames/s
episode: 96 | reward: -21.0 | mean_reward: -20.22 | epsilon: 0.91 | speed: 96.98 frames/s
episode: 97 | reward: -21.0 | mean_reward: -20.23 | epsilon: 0.91 | speed: 97.45 frames/s
episode: 98 | reward: -21.0 | mean_reward: -20.23 | epsilon: 0.91 | speed: 97.03 frames/s
episode: 99 | reward: -21.0 | mean_reward: -20.24 | epsilon: 0.91 | speed: 96.45 frames/s
episode: 100 | reward: -21.0 | mean_reward: -20.25 | epsilon: 0.91 | speed: 96.24 frames/s
episode: 101 | reward: -18.0 | mean_reward: -20.23 | epsilon: 0.90 | speed: 96.85 frames/s
episode: 102 | reward: -19.0 | mean_reward: -20.25 | epsilon: 0.90 | speed: 97.04 frames/s
episode: 103 | reward: -20.0 | mean_reward: -20.25 | epsilon: 0.90 | speed: 96.49 frames/s
episode: 104 | reward: -20.0 | mean_reward: -20.25 | epsilon: 0.90 | speed: 97.04 frames/s
episode: 105 | reward: -19.0 | mean_reward: -20.23 | epsilon: 0.90 | speed: 96.24 frames/s
episode: 106 | reward: -21.0 | mean_reward: -20.23 | epsilon: 0.90 | speed: 96.56 frames/s
episode: 107 | reward: -21.0 | mean_reward: -20.24 | epsilon: 0.90 | speed: 97.02 frames/s
episode: 108 | reward: -18.0 | mean_reward: -20.21 | epsilon: 0.90 | speed: 97.20 frames/s
episode: 109 | reward: -21.0 | mean_reward: -20.22 | epsilon: 0.90 | speed: 96.75 frames/s
episode: 110 | reward: -19.0 | mean_reward: -20.20 | epsilon: 0.90 | speed: 97.59 frames/s
episode: 111 | reward: -20.0 | mean_reward: -20.20 | epsilon: 0.89 | speed: 96.24 frames/s
episode: 112 | reward: -20.0 | mean_reward: -20.19 | epsilon: 0.89 | speed: 97.23 frames/s
episode: 113 | reward: -20.0 | mean_reward: -20.18 | epsilon: 0.89 | speed: 96.95 frames/s
episode: 114 | reward: -21.0 | mean_reward: -20.19 | epsilon: 0.89 | speed: 95.93 frames/s
episode: 115 | reward: -21.0 | mean_reward: -20.19 | epsilon: 0.89 | speed: 97.23 frames/s
episode: 116 | reward: -21.0 | mean_reward: -20.20 | epsilon: 0.89 | speed: 96.78 frames/s
episode: 117 | reward: -20.0 | mean_reward: -20.19 | epsilon: 0.89 | speed: 95.92 frames/s
